Genus,Species,Family,cryptic,length,Station,Depth,site,forest,Habitat
Thorogobius,macrolepis,Gobiidae,yes,29,FOU-24-18,90,Fourni,in,black corals on rocky outcrops + sponge
Anthias,anthias,Anthiadidae,no,25,CIO24-01,73.8,Ciotat,in,Black coral forest
Anthias,anthias,Anthiadidae,no,24,CIO24-01,73.8,Ciotat,in,Black coral forest
Vanneaugobius,dollfusi,Gobiidae,yes,21,CIO24-02,74.4,Ciotat,in,Black coral forest
Vanneaugobius,dollfusi,Gobiidae,yes,21,CIO24-02,74.4,Ciotat,in,Black coral forest
Scorpaena,sp,Scorpaenidae,yes,73,CIO24-02,74.4,Ciotat,in,Black coral forest
Vanneaugobius,dollfusi,Gobiidae,yes,23,CIO24-03,74,Ciotat,in,Black coral forest
Anthias,anthias,Anthiadidae,no,28,CIO24-04,73,Ciotat,in,Gorgonian forest
Anthias,anthias,Anthiadidae,no,27,CIO24-05,73,Ciotat,in,Gorgonian forest
Anthias,anthias,Anthiadidae,no,47,CIO24-05,73,Ciotat,in,Gorgonian forest
Anthias,anthias,Anthiadidae,no,23,CIO24-06,74,Ciotat,in,Gorgonian forest
Anthias,anthias,Anthiadidae,no,44,CIO24-06,74,Ciotat,in,Gorgonian forest
Anthias,anthias,Anthiadidae,no,22,CIO24-06,74,Ciotat,in,Gorgonian forest
Coris,julis,Labridae,no,24,CIO24-07,74,Ciotat,out,Rock
Anthias,anthias,Anthiadidae,no,28,CIO24-08,75,Ciotat,out,Rock
Anthias,anthias,Anthiadidae,no,28,CIO24-09,74,Ciotat,out,Rock
Anthias,anthias,Anthiadidae,no,26,CIO24-09,74,Ciotat,out,Rock
Scorpaena,sp,Scorpaenidae,yes,76,CIO24-10,79,Ciotat,out,Rock
Anthias,anthias,Anthiadidae,no,27,CIO24-11,75,Ciotat,out,Rock
Anthias,anthias,Anthiadidae,no,23,CIO24-12,74,Ciotat,out,Rock
Anthias,anthias,Anthiadidae,no,24,CIO24-12,74,Ciotat,out,Rock
